Year,PCE_Healthcare,PCE_HigherEducation,PCE_FoodServices,PCE_GroundTransport,PCE_VehicleInsurance,PCE_HousingUtils,CPI_All,CPI_Shelter,CPI_Rent,CPI_Electricity,CPI_PipedGas,CPI_WaterSewer,CPI_FoodAtHome,CPI_FoodAwayFromHome,CPI_Gasoline,CPI_NewVehicles,CPI_VehicleMaintenance,CPI_MedicalCare,CPI_MedicalServices,CPI_HospitalServices,CPI_TuitionChildcare,CPI_VehicleInsurance,CPI_CollegeTuition
1913,1.6822,1.6723,4.4800,3.6805,2.7922,5.3773,5.7395,5.9030,11.3143,35.4155,10.6537,7.0775,7.2801,3.8341,6.7625,16.7976,3.3752,1.4778,1.5935,0.4510,1.8963,0.9694,1.6758
1914,1.7234,1.7205,4.5581,3.7437,2.8544,5.4614,5.8169,5.9877,11.4177,34.1701,10.4005,6.9515,7.3638,3.9070,6.8807,16.7992,3.4454,1.5185,1.6374,0.4705,1.9479,1.0044,1.7241
1915,1.7581,1.7627,4.6179,3.7918,2.9056,5.5231,5.8701,6.0760,11.5264,33.2360,10.2347,6.8822,7.4166,3.9644,6.9712,16.7279,3.5022,1.5538,1.6755,0.4889,1.9925,1.0364,1.7663
1916,1.9123,1.9250,4.9902,4.0965,3.1539,5.9584,6.3202,6.1650,11.6352,32.3798,10.0876,6.8244,7.9705,4.2903,7.5335,17.7863,3.7964,1.6949,1.8275,0.5410,2.1726,1.1394,1.9289
1917,2.2745,2.2980,5.9002,4.8425,3.7443,7.0342,7.4477,6.0819,11.4177,31.5236,9.9358,6.7625,9.3767,5.0795,8.9076,20.7212,4.5016,2.0212,2.1793,0.6537,2.5900,1.3686,2.3026
1918,2.6926,2.7306,6.9433,5.6973,4.4244,8.2651,8.7350,6.4032,11.9614,32.3798,10.3189,7.0636,10.9788,5.9855,10.4827,24.0251,5.3127,2.3990,2.5866,0.7862,3.0733,1.6362,2.7360
1919,3.1324,3.1886,8.0286,6.5864,5.1373,9.5420,10.0658,6.9896,12.9944,33.0414,10.6473,7.3305,12.6296,6.9306,12.1217,27.3636,6.1610,2.7983,3.0172,0.9295,3.5837,1.9226,3.1948
1920,3.6563,3.7358,9.3148,7.6398,5.9852,11.0534,11.6386,8.3421,15.4411,33.2750,10.8438,7.5096,14.5779,8.0519,14.0641,31.2726,7.1689,3.2750,3.5311,1.1025,4.1929,2.2667,3.7430
1921,3.2967,3.3847,8.3330,6.8326,5.3832,9.8683,10.3659,9.4137,17.3440,33.7031,11.1069,7.7366,12.9548,7.2159,12.5823,27.4338,6.4375,2.9631,3.1946,1.0149,3.7920,2.0703,3.3912
1922,3.1298,3.2282,7.8524,6.4367,5.0988,9.2814,9.7271,9.6103,17.6159,33.2555,11.0860,7.7682,12.1308,6.8112,11.8572,25.3757,6.0880,2.8222,3.0428,0.9827,3.6104,1.9897,3.2342
1923,3.2202,3.3357,8.0241,6.5758,5.2349,9.4675,9.9013,9.9496,18.1460,32.6133,10.9982,7.7531,12.3240,6.9709,12.1169,25.4903,6.2417,2.9126,3.1401,1.0297,3.7246,2.0705,3.3418
1924,3.2698,3.4016,8.0911,6.6290,5.3039,9.5294,9.9448,10.3219,18.7305,32.3798,11.0448,7.8322,12.3537,7.0402,12.2186,25.2609,6.3149,2.9665,3.1981,1.0650,3.7922,2.1267,3.4078
1925,3.3853,3.5367,8.3200,6.8148,5.4796,9.7817,10.1868,10.4057,18.7848,31.9128,11.0113,7.8553,12.6298,7.2504,12.5646,25.5372,6.5149,3.0805,3.3210,1.1227,3.9365,2.2267,3.5430
1926,3.4531,3.6230,8.4280,6.9014,5.5772,9.8910,10.2787,10.3244,18.5402,31.5236,11.0025,7.8959,12.7187,7.3560,12.7282,25.4256,6.6215,3.1517,3.3977,1.1664,4.0261,2.2973,3.6294
1927,3.4244,3.6088,8.2986,6.7937,5.5185,9.7213,10.0803,10.1966,18.2139,31.0566,10.9648,7.9160,12.4480,7.2547,12.5334,24.5942,6.5422,3.1353,3.3800,1.1788,4.0037,2.3052,3.6151
1928,3.4226,3.6227,8.2358,6.7405,5.5034,9.6301,9.9642,10.0063,17.7790,30.3950,10.8562,7.8848,12.2798,7.2113,12.4390,23.9813,6.5148,3.1434,3.3886,1.2004,4.0126,2.3309,3.6289
